,Year ending March,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,Offence Subgroup Code,Offence Subgroup Name,Crime Severity,Severity Total Score
4993,2018,3070,NORTHCOTE,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,2,D24,Offensive language,3,6
4994,2018,3070,NORTHCOTE,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,4,D23,Offensive conduct,5,20
4995,2018,3070,NORTHCOTE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,13,D22,Drunk and disorderly in public,4,52
4996,2018,3070,NORTHCOTE,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,1,D21,Riot and affray,6,6
4997,2018,3070,NORTHCOTE,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,4,D35,Improper movement on public or private space,4,16
5007,2018,3071,THORNBURY,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,8,A232,Non-FV Common assault,10,80
5009,2018,3071,THORNBURY,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,13,A212,Non-FV Serious assault,10,130
5012,2018,3071,THORNBURY,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,3,A732,Non-FV Threatening behaviour,7,21
5014,2018,3071,THORNBURY,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,2,A722,Non-FV Harassment and private nuisance,8,16
5017,2018,3071,THORNBURY,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,8,A89,Other dangerous or negligent acts endangering people,7,56
5018,2018,3071,THORNBURY,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
5019,2018,3071,THORNBURY,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,3,A81,Dangerous driving,7,21
5048,2018,3071,THORNBURY,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,5,D23,Offensive conduct,5,25
5049,2018,3071,THORNBURY,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,8,D22,Drunk and disorderly in public,4,32
5050,2018,3071,THORNBURY,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,1,D36,Other public nuisance offences,7,7
5051,2018,3071,THORNBURY,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,7,D35,Improper movement on public or private space,4,28
5057,2018,3072,PRESTON,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,73,A232,Non-FV Common assault,10,730
5059,2018,3072,PRESTON,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,78,A212,Non-FV Serious assault,10,780
5064,2018,3072,PRESTON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,17,A732,Non-FV Threatening behaviour,7,119
5067,2018,3072,PRESTON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,3,A712,Non-FV Stalking,10,30
5069,2018,3072,PRESTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,22,A89,Other dangerous or negligent acts endangering people,7,154
5070,2018,3072,PRESTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,9,A83,Throw or discharge object endangering people,7,63
5072,2018,3072,PRESTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,6,A81,Dangerous driving,7,42
5102,2018,3072,PRESTON,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,5,D24,Offensive language,3,15
5103,2018,3072,PRESTON,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,12,D23,Offensive conduct,5,60
5104,2018,3072,PRESTON,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,27,D22,Drunk and disorderly in public,4,108
5105,2018,3072,PRESTON,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,3,D21,Riot and affray,6,18
5106,2018,3072,PRESTON,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,1,D36,Other public nuisance offences,7,7
5107,2018,3072,PRESTON,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,14,D35,Improper movement on public or private space,4,56
5108,2018,3072,PRESTON,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,D32,Hoaxes,7,7
5119,2018,3073,RESERVOIR,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,54,A232,Non-FV Common assault,10,540
5121,2018,3073,RESERVOIR,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,67,A212,Non-FV Serious assault,10,670
5126,2018,3073,RESERVOIR,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,6,A732,Non-FV Threatening behaviour,7,42
5128,2018,3073,RESERVOIR,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,5,A722,Non-FV Harassment and private nuisance,8,40
5130,2018,3073,RESERVOIR,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,9,A712,Non-FV Stalking,10,90
5132,2018,3073,RESERVOIR,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,13,A89,Other dangerous or negligent acts endangering people,7,91
5133,2018,3073,RESERVOIR,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,8,A83,Throw or discharge object endangering people,7,56
5134,2018,3073,RESERVOIR,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,5,A81,Dangerous driving,7,35
5158,2018,3073,RESERVOIR,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
5162,2018,3073,RESERVOIR,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,10,D23,Offensive conduct,5,50
5163,2018,3073,RESERVOIR,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,16,D22,Drunk and disorderly in public,4,64
5164,2018,3073,RESERVOIR,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,10,D35,Improper movement on public or private space,4,40
5165,2018,3073,RESERVOIR,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,2,D32,Hoaxes,7,14
5176,2018,3074,THOMASTOWN,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,34,A232,Non-FV Common assault,10,340
5178,2018,3074,THOMASTOWN,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,32,A212,Non-FV Serious assault,10,320
5183,2018,3074,THOMASTOWN,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,13,A732,Non-FV Threatening behaviour,7,91
5185,2018,3074,THOMASTOWN,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,8,A722,Non-FV Harassment and private nuisance,8,64
5187,2018,3074,THOMASTOWN,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,5,A712,Non-FV Stalking,10,50
5189,2018,3074,THOMASTOWN,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,25,A89,Other dangerous or negligent acts endangering people,7,175
5190,2018,3074,THOMASTOWN,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,5,A83,Throw or discharge object endangering people,7,35
5191,2018,3074,THOMASTOWN,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,6,A81,Dangerous driving,7,42
5219,2018,3074,THOMASTOWN,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,7,D23,Offensive conduct,5,35
5220,2018,3074,THOMASTOWN,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,9,D22,Drunk and disorderly in public,4,36
5221,2018,3074,THOMASTOWN,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,1,D21,Riot and affray,6,6
5222,2018,3074,THOMASTOWN,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,2,D36,Other public nuisance offences,7,14
5223,2018,3074,THOMASTOWN,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,3,D35,Improper movement on public or private space,4,12
5233,2018,3075,LALOR,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,20,A232,Non-FV Common assault,10,200
5235,2018,3075,LALOR,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,25,A212,Non-FV Serious assault,10,250
5240,2018,3075,LALOR,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,6,A732,Non-FV Threatening behaviour,7,42
5242,2018,3075,LALOR,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,4,A722,Non-FV Harassment and private nuisance,8,32
5244,2018,3075,LALOR,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,2,A712,Non-FV Stalking,10,20
5246,2018,3075,LALOR,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,17,A89,Other dangerous or negligent acts endangering people,7,119
5247,2018,3075,LALOR,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
5270,2018,3075,LALOR,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
5274,2018,3075,LALOR,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,D24,Offensive language,3,3
5275,2018,3075,LALOR,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
5276,2018,3075,LALOR,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,1,D21,Riot and affray,6,6
5277,2018,3075,LALOR,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,4,D35,Improper movement on public or private space,4,16
5285,2018,3076,EPPING,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,44,A232,Non-FV Common assault,10,440
5287,2018,3076,EPPING,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,61,A212,Non-FV Serious assault,10,610
5292,2018,3076,EPPING,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,19,A732,Non-FV Threatening behaviour,7,133
5294,2018,3076,EPPING,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,10,A722,Non-FV Harassment and private nuisance,8,80
5296,2018,3076,EPPING,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,6,A712,Non-FV Stalking,10,60
5298,2018,3076,EPPING,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,24,A89,Other dangerous or negligent acts endangering people,7,168
5299,2018,3076,EPPING,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,3,A83,Throw or discharge object endangering people,7,21
5300,2018,3076,EPPING,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,4,A81,Dangerous driving,7,28
5326,2018,3076,EPPING,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,3,D13,Explosives offences,6,18
5330,2018,3076,EPPING,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,2,D24,Offensive language,3,6
5331,2018,3076,EPPING,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,6,D23,Offensive conduct,5,30
5332,2018,3076,EPPING,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,9,D22,Drunk and disorderly in public,4,36
5333,2018,3076,EPPING,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,2,D21,Riot and affray,6,12
5334,2018,3076,EPPING,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,5,D35,Improper movement on public or private space,4,20
5335,2018,3076,EPPING,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,D32,Hoaxes,7,7
5346,2018,3078,ALPHINGTON,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,4,A232,Non-FV Common assault,10,40
5348,2018,3078,ALPHINGTON,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,5,A212,Non-FV Serious assault,10,50
5351,2018,3078,ALPHINGTON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,2,A732,Non-FV Threatening behaviour,7,14
5353,2018,3078,ALPHINGTON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,3,A722,Non-FV Harassment and private nuisance,8,24
5355,2018,3078,ALPHINGTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
5372,2018,3078,ALPHINGTON,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,2,D23,Offensive conduct,5,10
5373,2018,3078,ALPHINGTON,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,3,D22,Drunk and disorderly in public,4,12
5379,2018,3078,FAIRFIELD,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,7,A232,Non-FV Common assault,10,70
5381,2018,3078,FAIRFIELD,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,6,A212,Non-FV Serious assault,10,60
5385,2018,3078,FAIRFIELD,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,3,A732,Non-FV Threatening behaviour,7,21
5388,2018,3078,FAIRFIELD,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,4,A712,Non-FV Stalking,10,40
5390,2018,3078,FAIRFIELD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
5407,2018,3078,FAIRFIELD,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,D24,Offensive language,3,3
5408,2018,3078,FAIRFIELD,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,2,D23,Offensive conduct,5,10
5409,2018,3078,FAIRFIELD,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,5,D22,Drunk and disorderly in public,4,20
5410,2018,3078,FAIRFIELD,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,3,D35,Improper movement on public or private space,4,12
5418,2018,3079,IVANHOE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,15,A232,Non-FV Common assault,10,150
5420,2018,3079,IVANHOE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,13,A212,Non-FV Serious assault,10,130
5424,2018,3079,IVANHOE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,4,A732,Non-FV Threatening behaviour,7,28
5426,2018,3079,IVANHOE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
5427,2018,3079,IVANHOE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,3,A89,Other dangerous or negligent acts endangering people,7,21
5428,2018,3079,IVANHOE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
5453,2018,3079,IVANHOE,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,2,D24,Offensive language,3,6
5454,2018,3079,IVANHOE,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,2,D23,Offensive conduct,5,10
5455,2018,3079,IVANHOE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,9,D22,Drunk and disorderly in public,4,36
5456,2018,3079,IVANHOE,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,2,D35,Improper movement on public or private space,4,8
5462,2018,3079,IVANHOE EAST,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
5463,2018,3079,IVANHOE EAST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,2,A89,Other dangerous or negligent acts endangering people,7,14
5475,2018,3079,IVANHOE EAST,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
5478,2018,3081,BELLFIELD,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
5480,2018,3081,BELLFIELD,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
5483,2018,3081,BELLFIELD,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,3,A732,Non-FV Threatening behaviour,7,21
5485,2018,3081,BELLFIELD,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
5501,2018,3081,BELLFIELD,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
5502,2018,3081,BELLFIELD,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,1,D21,Riot and affray,6,6
5503,2018,3081,BELLFIELD,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
5508,2018,3081,HEIDELBERG HEIGHTS,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,10,A232,Non-FV Common assault,10,100
5510,2018,3081,HEIDELBERG HEIGHTS,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,13,A212,Non-FV Serious assault,10,130
5515,2018,3081,HEIDELBERG HEIGHTS,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,5,A89,Other dangerous or negligent acts endangering people,7,35
5516,2018,3081,HEIDELBERG HEIGHTS,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
5534,2018,3081,HEIDELBERG HEIGHTS,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
5537,2018,3081,HEIDELBERG HEIGHTS,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,1,D21,Riot and affray,6,6
5543,2018,3081,HEIDELBERG WEST,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,22,A232,Non-FV Common assault,10,220
5545,2018,3081,HEIDELBERG WEST,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,31,A212,Non-FV Serious assault,10,310
5550,2018,3081,HEIDELBERG WEST,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,6,A732,Non-FV Threatening behaviour,7,42
5554,2018,3081,HEIDELBERG WEST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,11,A89,Other dangerous or negligent acts endangering people,7,77
5555,2018,3081,HEIDELBERG WEST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
5556,2018,3081,HEIDELBERG WEST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
5581,2018,3081,HEIDELBERG WEST,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
5582,2018,3081,HEIDELBERG WEST,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,8,D22,Drunk and disorderly in public,4,32
5583,2018,3081,HEIDELBERG WEST,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,2,D21,Riot and affray,6,12
5584,2018,3081,HEIDELBERG WEST,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,4,D35,Improper movement on public or private space,4,16
5593,2018,3082,MILL PARK,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,47,A232,Non-FV Common assault,10,470
5595,2018,3082,MILL PARK,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,30,A212,Non-FV Serious assault,10,300
5600,2018,3082,MILL PARK,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,17,A732,Non-FV Threatening behaviour,7,119
5602,2018,3082,MILL PARK,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,6,A722,Non-FV Harassment and private nuisance,8,48
5604,2018,3082,MILL PARK,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,8,A712,Non-FV Stalking,10,80
5606,2018,3082,MILL PARK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,7,A89,Other dangerous or negligent acts endangering people,7,49
5607,2018,3082,MILL PARK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,4,A83,Throw or discharge object endangering people,7,28
5608,2018,3082,MILL PARK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
5630,2018,3082,MILL PARK,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
5634,2018,3082,MILL PARK,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,D24,Offensive language,3,3
5635,2018,3082,MILL PARK,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,4,D23,Offensive conduct,5,20
5636,2018,3082,MILL PARK,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,5,D22,Drunk and disorderly in public,4,20
5637,2018,3082,MILL PARK,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
5638,2018,3082,MILL PARK,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,D32,Hoaxes,7,7
5651,2018,3083,BUNDOORA,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,24,A232,Non-FV Common assault,10,240
5653,2018,3083,BUNDOORA,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,25,A212,Non-FV Serious assault,10,250
5658,2018,3083,BUNDOORA,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,9,A732,Non-FV Threatening behaviour,7,63
5660,2018,3083,BUNDOORA,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,4,A722,Non-FV Harassment and private nuisance,8,32
5662,2018,3083,BUNDOORA,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,8,A712,Non-FV Stalking,10,80
5664,2018,3083,BUNDOORA,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,8,A89,Other dangerous or negligent acts endangering people,7,56
5665,2018,3083,BUNDOORA,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,5,A81,Dangerous driving,7,35
5693,2018,3083,BUNDOORA,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,5,D23,Offensive conduct,5,25
5694,2018,3083,BUNDOORA,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,3,D22,Drunk and disorderly in public,4,12
5695,2018,3083,BUNDOORA,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,1,D21,Riot and affray,6,6
5696,2018,3083,BUNDOORA,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,6,D35,Improper movement on public or private space,4,24
5697,2018,3083,BUNDOORA,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,D32,Hoaxes,7,7
5704,2018,3083,KINGSBURY,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,4,A232,Non-FV Common assault,10,40
5706,2018,3083,KINGSBURY,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,6,A212,Non-FV Serious assault,10,60
5711,2018,3083,KINGSBURY,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,2,A732,Non-FV Threatening behaviour,7,14
5712,2018,3083,KINGSBURY,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,3,A89,Other dangerous or negligent acts endangering people,7,21
5730,2018,3083,KINGSBURY,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,D24,Offensive language,3,3
5731,2018,3083,KINGSBURY,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
5732,2018,3083,KINGSBURY,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,2,D35,Improper movement on public or private space,4,8
5739,2018,3084,EAGLEMONT,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,3,A232,Non-FV Common assault,10,30
5741,2018,3084,EAGLEMONT,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
5743,2018,3084,EAGLEMONT,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
5744,2018,3084,EAGLEMONT,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
5745,2018,3084,EAGLEMONT,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,2,A712,Non-FV Stalking,10,20
5746,2018,3084,EAGLEMONT,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
5755,2018,3084,EAGLEMONT,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
5756,2018,3084,EAGLEMONT,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
5760,2018,3084,HEIDELBERG,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,22,A232,Non-FV Common assault,10,220
5762,2018,3084,HEIDELBERG,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,15,A212,Non-FV Serious assault,10,150
5765,2018,3084,HEIDELBERG,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,11,A732,Non-FV Threatening behaviour,7,77
5767,2018,3084,HEIDELBERG,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
5770,2018,3084,HEIDELBERG,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,2,A89,Other dangerous or negligent acts endangering people,7,14
5771,2018,3084,HEIDELBERG,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
